"Title","Artist"
"Lilypads","Droeloe"
"Believe Her","Mr FijiWiji, (feat. Meron Ryan)"
"Yours Truly (VIP)","Mr FijiWiji, (feat. Danyka Nadeau)"
"Requiem","Take/Five"
"Fall Apart","Krane, Alexander Lewis"
"Athens","Juelz"
"Rattlesnake","Rogue"
"Nothing Wrong","Droeloe"
"Gasoline","Halsey"
"Senses","Prismo"
"Front to Back","Buku"
